,user,num_of_hits,total_seconds
0,1.32.68.217,2,7.0
1,1.32.69.35,1,0.0
2,1.32.73.250,6,4934.0
3,1.32.98.248,86,2472.0
4,1.9.107.127,2,3.0
5,1.9.124.87,1,0.0
6,1.9.189.94,4,33140.0
7,1.9.95.223,2,1.0
8,1.9.97.79,1,0.0
9,103.1.106.11,857,422359.0
10,103.21.44.42,1,0.0
11,103.25.248.253,1,0.0
12,110.159.12.242,1,0.0
13,110.159.126.28,62,1136.0
14,110.159.31.52,2,2.0
15,110.159.46.177,2,2.0
16,110.159.79.229,2,8.0
17,111.65.60.147,1,0.0
18,111.65.63.161,1,0.0
19,111.90.140.61,2,4.0
20,111.90.140.69,19,192.0
21,111.90.141.43,2,1.0
22,113.210.101.149,5,81.0
23,113.210.101.69,1,0.0
24,113.210.102.99,1,0.0
25,113.210.104.227,1,0.0
26,113.210.105.109,33,213.0
27,113.210.105.138,77,1657.0
28,113.210.105.229,2,6.0
29,113.210.106.202,1,0.0
30,113.210.107.237,1,0.0
31,113.210.107.239,1,0.0
32,113.210.107.29,1,0.0
33,113.210.108.146,1,0.0
34,113.210.108.167,2,43.0
35,113.210.108.77,1,0.0
36,113.210.109.131,1,0.0
37,113.210.109.71,1,0.0
38,113.210.110.199,1,0.0
39,113.210.110.58,2,4.0
40,113.210.111.125,1,0.0
41,113.210.111.232,1,0.0
42,113.210.111.47,2,8.0
43,113.210.112.152,1,0.0
44,113.210.112.163,1,0.0
45,113.210.112.167,1,0.0
46,113.210.112.29,1,0.0
47,113.210.113.138,1,0.0
48,113.210.113.167,1,0.0
49,113.210.113.89,2,4.0
50,113.210.114.209,1,0.0
51,113.210.115.34,1,0.0
52,113.210.116.243,2,5.0
53,113.210.117.0,1,0.0
54,113.210.117.205,1,0.0
55,113.210.117.210,2,12.0
56,113.210.117.56,80,1370.0
57,113.210.118.230,1,0.0
58,113.210.118.239,1,0.0
59,113.210.118.5,1,0.0
60,113.210.119.125,1,0.0
61,113.210.119.76,1,0.0
62,113.210.119.89,2,1.0
63,113.210.120.200,2,8.0
64,113.210.120.88,2,2.0
65,113.210.121.124,1,0.0
66,113.210.121.212,1,0.0
67,113.210.121.229,2,21060.0
68,113.210.121.28,2,1.0
69,113.210.121.56,1,0.0
70,113.210.121.99,1,0.0
71,113.210.122.133,1,0.0
72,113.210.122.184,2,3.0
73,113.210.122.36,1,0.0
74,113.210.122.54,1,0.0
75,113.210.122.8,1,0.0
76,113.210.123.184,2,8.0
77,113.210.124.123,1,0.0
78,113.210.124.204,1,0.0
79,113.210.125.6,1,0.0
80,113.210.126.58,1,0.0
81,113.210.127.180,1,0.0
82,113.210.48.54,1,0.0
83,113.210.49.177,69,270.0
84,113.210.49.206,2,4.0
85,113.210.49.35,1,0.0
86,113.210.51.101,1,0.0
87,113.210.51.119,1,0.0
88,113.210.52.223,1,0.0
89,113.210.53.100,1,0.0
90,113.210.53.172,1,0.0
91,113.210.53.176,78,2433.0
92,113.210.53.183,1,0.0
93,113.210.53.237,1,0.0
94,113.210.53.67,2,26.0
95,113.210.54.164,1,0.0
96,113.210.54.202,2,1.0
97,113.210.54.69,1,0.0
98,113.210.55.10,94,5857.0
99,113.210.56.117,1,0.0
100,113.210.56.135,1,0.0
101,113.210.56.168,2,6.0
102,113.210.56.197,1,0.0
103,113.210.56.2,1,0.0
104,113.210.56.235,2,4.0
105,113.210.56.247,1,0.0
106,113.210.57.100,1,0.0
107,113.210.57.160,1,0.0
108,113.210.57.197,1,0.0
109,113.210.57.20,2,22890.0
110,113.210.57.249,1,0.0
111,113.210.57.50,1,0.0
112,113.210.58.156,1,0.0
113,113.210.58.192,1,0.0
114,113.210.58.56,1,0.0
115,113.210.59.128,2,2.0
116,113.210.59.45,1,0.0
117,113.210.59.91,1,0.0
118,113.210.60.180,2,89666.0
119,113.210.61.148,1,0.0
120,113.210.62.78,1,0.0
121,113.210.63.206,1,0.0
122,113.210.63.230,2,4.0
123,113.210.96.142,3,80.0
124,113.210.97.53,1,0.0
125,113.210.99.101,1,0.0
126,113.211.102.189,1,0.0
127,113.211.105.125,1,0.0
128,113.211.106.230,1,0.0
129,113.211.110.47,1,0.0
130,113.211.110.54,1,0.0
131,113.211.112.152,1,0.0
132,113.211.116.164,2,3.0
133,113.211.116.240,4,38.0
134,113.211.116.249,1,0.0
135,113.211.117.112,2,2.0
136,113.211.119.48,2,4.0
137,113.211.124.15,1,0.0
138,113.211.126.47,1,0.0
139,113.211.127.254,1,0.0
140,113.211.127.56,1,0.0
141,113.211.127.81,3,5.0
142,113.211.128.107,1,0.0
143,113.211.128.229,1,0.0
144,113.211.130.218,2,25.0
145,113.211.130.70,1,0.0
146,113.211.136.133,1,0.0
147,113.211.139.162,36,1256.0
148,113.211.141.242,1,0.0
149,113.211.143.186,1,0.0
150,113.211.144.16,1,0.0
151,113.211.147.93,1,0.0
152,113.211.148.105,1,0.0
153,113.211.148.206,1,0.0
154,113.211.154.53,1,0.0
155,113.211.155.205,1,0.0
156,113.211.157.135,1,0.0
157,113.211.157.179,2,24.0
158,113.211.162.74,4,55.0
159,113.211.163.78,2,4.0
160,113.211.164.160,1,0.0
161,113.211.165.187,1,0.0
162,113.211.170.9,1,0.0
163,113.211.178.134,1,0.0
164,113.211.178.168,2,14.0
165,113.211.178.236,2,6.0
166,113.211.180.68,1,0.0
167,113.211.188.221,2,19.0
168,113.211.189.213,1,0.0
169,113.211.208.64,1,0.0
170,113.211.208.79,2,3.0
171,113.211.208.89,2,2.0
172,113.211.98.149,1,0.0
173,113.211.98.43,2,17.0
174,113.96.219.105,1,0.0
175,114.5.215.11,1,0.0
176,115.132.168.144,1,0.0
177,115.132.174.58,1,0.0
