,user,path
0,1.32.68.217,"['quiz', 'login']"
1,1.32.69.35,['quiz']
2,1.32.73.250,"['quiz', 'login', 'quiz', 'login']"
3,1.32.73.250,"['quiz', 'login']"
4,1.32.98.248,"['quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'sign_up', 'login', 'login', 'login', 'login', 'login', 'dashboard', 'login', 'profile', 'faq', 'scoreboard', 'dashboard', 'dashboard', 'dashboard', 'scoreboard', 'profile', 'faq', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'available_rewards', 'available_rewards', 'profile', 'profile', 'scoreboard', 'scoreboard', 'profile', 'profile', 'scoreboard', 'scoreboard', 'available_rewards', 'faq', 'faq', 'dashboard', 'dashboard', 'scoreboard', 'scoreboard', 'dashboard', 'dashboard', 'scoreboard', 'scoreboard']"
5,1.9.107.127,"['quiz', 'login']"
6,1.9.124.87,['quiz']
7,1.9.189.94,"['quiz', 'login']"
8,1.9.189.94,"['login', 'quiz']"
9,1.9.95.223,"['quiz', 'login']"
10,1.9.97.79,['quiz']
11,103.1.106.11,"['landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'login', 'login', 'login', 'login', 'login', 'login', 'login', 'login', 'sign_up', 'login', 'login', 'login', 'login', 'sign_up', 'login', 'login', 'login', 'scoreboard', 'faq', 'scoreboard', 'dashboard', 'dashboard', 'dashboard', 'faq', 'profile', 'profile', 'dashboard', 'dashboard', 'dashboard', 'scoreboard', 'login', 'dashboard', 'login', 'dashboard', 'login', 'login', 'dashboard', 'login', 'scoreboard', 'scoreboard', 'profile', 'dashboard', 'faq', 'profile', 'dashboard', 'dashboard', 'faq']"
12,103.1.106.11,"['main_page', 'main_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'login', 'login', 'dashboard', 'dashboard', 'scoreboard', 'dashboard', 'scoreboard', 'faq', 'profile', 'profile', 'faq', 'dashboard', 'login', 'logout']"
13,103.1.106.11,"['login', 'main_page', 'login', 'login', 'scoreboard', 'scoreboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'faq', 'profile', 'profile', 'login', 'faq', 'logout']"
14,103.1.106.11,['login']
15,103.1.106.11,"['login', 'login', 'login', 'dashboard', 'dashboard']"
16,103.1.106.11,['quiz']
17,103.1.106.11,"['landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'login', 'login', 'login', 'login', 'login', 'sign_up', 'login', 'login', 'scoreboard', 'faq', 'profile', 'profile', 'scoreboard', 'dashboard', 'dashboard', 'login', 'dashboard', 'faq', 'dashboard', 'dashboard', 'dashboard', 'faq', 'profile', 'profile', 'dashboard', 'scoreboard', 'scoreboard', 'dashboard', 'faq', 'available_rewards', 'logout']"
18,103.1.106.11,"['login', 'dashboard', 'dashboard', 'login', 'available_rewards', 'dashboard', 'dashboard', 'logout']"
19,103.1.106.11,"['login', 'quiz', 'quiz', 'login', 'sign_up', 'login', 'login', 'login', 'sign_up', 'login', 'login', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'quiz', 'quiz', 'login', 'quiz', 'login', 'login', 'quiz', 'quiz', 'login', 'quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'main_page', 'login', 'quiz', 'login', 'quiz', 'quiz', 'login', 'login', 'quiz', 'login', 'quiz', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'main_page', 'quiz', 'quiz', 'login', 'quiz', 'login']"
20,103.1.106.11,"['main_page', 'main_page', 'login', 'login', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'available_rewards', 'available_rewards', 'available_rewards', 'available_rewards', 'dashboard', 'dashboard', 'available_rewards', 'available_rewards', 'available_rewards', 'available_rewards']"
21,103.1.106.11,"['login', 'dashboard', 'main_page', 'main_page', 'quiz', 'quiz', 'login', 'sign_up', 'login', 'dashboard', 'login', 'dashboard', 'login', 'login', 'dashboard', 'logout']"
22,103.1.106.11,"['login', 'login', 'dashboard', 'login', 'dashboard', 'available_rewards', 'login', 'logout']"
23,103.1.106.11,"['sign_up', 'login', 'login', 'login', 'dashboard', 'login', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'sign_up', 'login', 'sign_up', 'login']"
24,103.1.106.11,"['quiz', 'quiz', 'login']"
25,103.1.106.11,"['main_page', 'main_page', 'login', 'login', 'login', 'login', 'sign_up', 'login', 'login', 'login', 'login', 'dashboard', 'dashboard', 'dashboard', 'faq', 'faq', 'dashboard', 'scoreboard', 'profile', 'profile', 'scoreboard', 'dashboard', 'dashboard']"
26,103.1.106.11,"['main_page', 'main_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page']"
