,user,datetime,method,request,status,size,page,date,page_category,time_on_page,is_idle,session_identification
0,31.13.103.116,2021-07-18 07:20:08+08:00,GET,covid-19,301,239,covid-19,18,main_page,0:00:01,False,1
1,31.13.103.116,2021-07-18 07:20:08+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0:00:00,True,1
2,31.13.103.9,2021-07-18 07:20:08+08:00,GET,covid-19,301,239,covid-19,18,main_page,0:00:01,False,1
3,31.13.103.9,2021-07-18 07:20:08+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0:00:00,True,1
4,124.13.97.55,2021-07-18 10:08:50+08:00,GET,quiz,200,63047,covid-19,18,quiz,0:00:01,False,1
5,124.13.97.55,2021-07-18 10:08:50+08:00,POST,_update_track_page_without_login,200,201,covid-19,18,login,0:00:00,True,1
6,69.171.249.21,2021-07-18 11:28:17+08:00,GET,quiz,200,63047,covid-19,18,quiz,5 days 04:11:23,True,1
7,69.171.249.24,2021-07-18 11:28:17+08:00,GET,quiz,200,63047,covid-19,18,quiz,6 days 04:00:31,True,1
8,173.252.83.17,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,0:00:01,False,1
9,173.252.83.17,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,0:00:01,False,1
10,173.252.83.17,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,0 days 00:11:47,False,1
11,173.252.83.6,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,0:00:01,False,1
12,173.252.83.118,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,1 days 05:17:35,True,1
13,173.252.83.6,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,0 days 04:12:19,True,1
14,173.252.83.119,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,0 days 11:04:11,True,1
15,173.252.83.13,2021-07-18 11:28:18+08:00,GET,quiz,200,63047,covid-19,18,quiz,3 days 12:24:13,True,1
16,69.171.249.10,2021-07-18 11:28:19+08:00,GET,quiz,200,63047,covid-19,18,quiz,0:00:00,True,1
17,173.252.107.12,2021-07-18 11:28:19+08:00,GET,quiz,200,63047,covid-19,18,quiz,0:00:00,True,1
18,173.252.83.117,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0 days 10:52:26,True,1
19,173.252.83.2,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0 days 13:37:01,True,1
20,173.252.83.21,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0 days 10:52:42,True,1
21,173.252.83.11,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0:00:01,False,1
22,173.252.83.3,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,1 days 04:26:53,True,1
23,173.252.83.19,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0 days 04:00:26,True,1
24,173.252.83.5,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0 days 04:00:26,True,1
25,173.252.83.11,2021-07-18 11:40:03+08:00,GET,covid-19,200,49247,covid-19,18,main_page,3 days 09:03:22,True,1
26,173.252.83.17,2021-07-18 11:40:05+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0:00:01,False,1
27,173.252.83.17,2021-07-18 11:40:05+08:00,GET,covid-19,200,49247,covid-19,18,main_page,0:00:01,False,1
28,173.252.83.17,2021-07-18 11:40:05+08:00,GET,covid-19,301,239,covid-19,18,main_page,0:00:01,False,1
